UID          PID    PPID  C STIME TTY          TIME CMD
root         847       1  0 14:46 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         848       1  0 14:46 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
syslog       856       1  0 14:46 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         860       1  0 14:46 ?        00:00:00 /usr/libexec/switcheroo-control
root         864       1  0 14:46 ?        00:00:00 /lib/systemd/systemd-logind
root         866       1  0 14:46 ?        00:00:00 /usr/lib/udisks2/udisksd
root         868       1  0 14:46 ?        00:00:00 /usr/bin/VGAuthService
root         870       1  0 14:46 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
lp           877     833  0 14:46 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         878       1  0 14:46 ?        00:00:02 /usr/bin/vmtoolsd
avahi        895     829  0 14:46 ?        00:00:00 avahi-daemon: chroot helper
root         907       2  0 14:46 ?        00:00:00 [kworker/2:4-events]
root         909       1  0 14:46 ?        00:00:00 /usr/sbin/ModemManager
root         912       1  0 14:46 ?        00:00:00 /usr/sbin/cups-browsed
root         920       1  0 14:46 ?        00:00:00 /usr/sbin/nghttpx --conf=/etc/nghttpx/nghttpx.conf
root         943       1  0 14:46 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         947       1  0 14:46 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         948     920  0 14:46 ?        00:00:00 /usr/sbin/nghttpx --conf=/etc/nghttpx/nghttpx.conf
root         951       1  0 14:46 ?        00:00:00 /usr/sbin/gdm3
rtkit       1020       1  0 14:46 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1141       1  0 14:46 ?        00:00:00 /usr/lib/upower/upowerd
whoopsie    1149       1  0 14:46 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1159       1  0 14:46 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1169       1  0 14:46 ?        00:00:00 /usr/sbin/kerneloops
colord      1396       1  0 14:46 ?        00:00:00 /usr/libexec/colord
root        1435     951  0 14:47 ?        00:00:00 gdm-session-worker [pam/gdm-password]
dragong     1451       1  0 14:47 ?        00:00:00 /lib/systemd/systemd --user
dragong     1452    1451  0 14:47 ?        00:00:00 (sd-pam)
dragong     1457    1451  0 14:47 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
dragong     1459    1451  1 14:47 ?        00:00:27 /usr/libexec/tracker-miner-fs
dragong     1462    1451  0 14:47 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dragong     1467    1451  0 14:47 ?        00:00:00 /usr/libexec/gvfsd
dragong     1470       1  0 14:47 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
dragong     1488    1451  0 14:47 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
dragong     1495    1451  0 14:47 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
dragong     1502    1451  0 14:47 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
dragong     1506    1451  0 14:47 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
dragong     1511    1451  0 14:47 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
dragong     1515    1451  0 14:47 ?        00:00:00 /usr/libexec/goa-daemon
dragong     1524    1451  0 14:47 ?        00:00:00 /usr/libexec/goa-identity-service
dragong     1529    1451  0 14:47 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
dragong     1536    1435  0 14:47 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
dragong     1539    1536  1 14:47 tty2     00:00:41 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
dragong     1553    1536  0 14:47 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
dragong     1621    1553  0 14:47 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
dragong     1638    1451  0 14:47 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
dragong     1643    1638  0 14:47 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
dragong     1649    1451  0 14:47 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
dragong     1656    1451  0 14:47 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
dragong     1669    1451  2 14:47 ?        00:00:53 /usr/bin/gnome-shell
dragong     1689    1669  0 14:47 ?        00:00:05 ibus-daemon --panel disable --xim
dragong     1693    1689  0 14:47 ?        00:00:00 /usr/libexec/ibus-dconf
dragong     1694    1689  0 14:47 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
dragong     1697    1451  0 14:47 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
dragong     1701    1451  0 14:47 ?        00:00:00 /usr/libexec/ibus-portal
dragong     1711    1451  0 14:47 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
dragong     1715    1451  0 14:47 ?        00:00:00 /usr/libexec/xdg-permission-store
dragong     1720    1451  0 14:47 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
dragong     1728    1451  0 14:47 ?        00:00:00 /usr/libexec/evolution-source-registry
dragong     1735    1451  0 14:47 ?        00:00:00 /usr/libexec/evolution-calendar-factory
dragong     1745    1451  0 14:47 ?        00:00:00 /usr/libexec/dconf-service
dragong     1748    1451  0 14:47 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
dragong     1759    1451  0 14:47 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
dragong     1774    1467  0 14:47 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
dragong     1790    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-a11y-settings
dragong     1805    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-color
dragong     1812    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-datetime
dragong     1818    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-housekeeping
dragong     1820    1451  0 14:47 ?        00:00:03 /usr/bin/vmtoolsd -n vmusr --blockFd 3
dragong     1822    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-keyboard
dragong     1823    1656  0 14:47 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
dragong     1824    1656  0 14:47 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
dragong     1826    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-media-keys
dragong     1834    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-power
dragong     1842    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-print-notifications
dragong     1845    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-rfkill
dragong     1846    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
dragong     1847    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-sharing
dragong     1848    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-smartcard
dragong     1852    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-sound
dragong     1865    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-usb-protection
dragong     1866    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-wacom
dragong     1868    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-wwan
dragong     1870    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-xsettings
dragong     1900    1451  0 14:47 ?        00:00:00 /usr/libexec/gsd-printer
dragong     1939    1689  0 14:47 ?        00:00:01 /usr/lib/ibus/ibus-engine-libpinyin --ibus
dragong     1983    1669  1 14:47 ?        00:00:32 /usr/share/code/code --unity-launch --enable-crashpad
dragong     1987    1983  0 14:47 ?        00:00:00 /usr/share/code/code --type=zygote --no-zygote-sandbox --enable-crashpad --enable-crashpad
dragong     1988    1983  0 14:47 ?        00:00:00 /usr/share/code/code --type=zygote --enable-crashpad --enable-crashpad
dragong     1990    1988  0 14:47 ?        00:00:00 /usr/share/code/code --type=zygote --enable-crashpad --enable-crashpad
